id,jp_name,en_name,hiragana,katakana,parent_id
106,せたな町,setanachou,せたなちょう,セタナチョウ,7
107,島牧村,shimamakimura,しままきむら,シママキムラ,7
108,寿都町,suttsuchou,すっつちょう,スッツチョウ,7
109,黒松内町,kuromatsunaichou,くろまつないちょう,クロマツナイチョウ,7
110,蘭越町,rankoshichou,らんこしちょう,ランコシチョウ,7
111,ニセコ町,nisekochou,にせこちょう,ニセコチョウ,7
112,真狩村,makkarimura,まっかりむら,マッカリムラ,7
113,留寿都村,rusutsumura,るすつむら,ルスツムラ,7
114,喜茂別町,kimobetsuchou,きもべつちょう,キモベツチョウ,7
115,京極町,kyougokuchou,きょうごくちょう,キョウゴクチョウ,7
116,倶知安町,kucchiyanchou,くっちゃんちょう,クッチャンチョウ,7
117,共和町,kyouwachou,きょうわちょう,キョウワチョウ,7
118,岩内町,iwauchichou,いわうちちょう,イワウチチョウ,7
119,泊村,tomarimura,とまりむら,トマリムラ,7
120,神恵内村,kamoenaimura,かもえないむら,カモエナイムラ,7
121,積丹町,shakotanchou,しゃこたんちょう,シャコタンチョウ,7
122,古平町,furubirachou,ふるびらちょう,フルビラチョウ,7
123,仁木町,nikichou,にきちょう,ニキチョウ,7
124,余市町,yoichichou,よいちちょう,ヨイチチョウ,7
125,赤井川村,akaigawamura,あかいがわむら,アカイガワムラ,7
126,南幌町,nanporochou,なんぽろちょう,ナンポロチョウ,7
127,奈井江町,naiechou,ないえちょう,ナイエチョウ,7
128,上砂川町,kamisunagawachou,かみすながわちょう,カミスナガワチョウ,7
129,由仁町,yunichou,ゆにちょう,ユニチョウ,7
130,長沼町,naganumachou,ながぬまちょう,ナガヌマチョウ,7
131,栗山町,kuriyamachou,くりやまちょう,クリヤマチョウ,7
132,月形町,tsukigatachou,つきがたちょう,ツキガタチョウ,7
133,浦臼町,urausuchou,うらうすちょう,ウラウスチョウ,7
134,新十津川町,shintotsukawachou,しんとつかわちょう,シントツカワチョウ,7
135,妹背牛町,moseushichou,もせうしちょう,モセウシチョウ,7
136,秩父別町,chippubetsuchou,ちっぷべつちょう,チップベツチョウ,7
137,雨竜町,uryuuchou,うりゅうちょう,ウリュウチョウ,7
138,北竜町,hokuryuuchou,ほくりゅうちょう,ホクリュウチョウ,7
139,沼田町,numatachou,ぬまたちょう,ヌマタチョウ,7
140,鷹栖町,takasuchou,たかすちょう,タカスチョウ,7
141,東神楽町,higashikagurachou,ひがしかぐらちょう,ヒガシカグラチョウ,7
142,当麻町,toumachou,とうまちょう,トウマチョウ,7
143,比布町,pippuchou,ぴっぷちょう,ピップチョウ,7
144,愛別町,aibetsuchou,あいべつちょう,アイベツチョウ,7
145,上川町,kamikawachou,かみかわちょう,カミカワチョウ,7
146,東川町,higashikawachou,ひがしかわちょう,ヒガシカワチョウ,7
147,美瑛町,bieichou,びえいちょう,ビエイチョウ,7
148,上富良野町,kamifuranochou,かみふらのちょう,カミフラノチョウ,7
149,中富良野町,nakafuranochou,なかふらのちょう,ナカフラノチョウ,7
150,南富良野町,minamifuranochou,みなみふらのちょう,ミナミフラノチョウ,7
151,占冠村,shimukappumura,しむかっぷむら,シムカップムラ,7
152,和寒町,wassamuchou,わっさむちょう,ワッサムチョウ,7
153,剣淵町,kenbuchichou,けんぶちちょう,ケンブチチョウ,7
154,下川町,shimokawachou,しもかわちょう,シモカワチョウ,7
155,美深町,bifukachou,びふかちょう,ビフカチョウ,7
156,音威子府村,otoineppumura,おといねっぷむら,オトイネップムラ,7
157,中川町,nakagawachou,なかがわちょう,ナカガワチョウ,7
158,幌加内町,horokanaichou,ほろかないちょう,ホロカナイチョウ,7
159,増毛町,mashikechou,ましけちょう,マシケチョウ,7
